algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,1000,0.0033623333333333335,7.1065697304208e-05,1.0,1.0,0.0033623333333333335
blocks,2,1000,0.003263,8.428523002282194e-05,1.0304423332311778,0.5152211666155889,0.0033623333333333335
blocks,4,1000,0.003909333333333333,0.0001899798234901099,0.8600784447476126,0.21501961118690316,0.0033623333333333335
blocks,8,1000,0.0035659999999999997,0.00015385382673173918,0.9428865208450179,0.11786081510562724,0.0033623333333333335
cols,1,1000,0.00314,7.968061244744551e-05,1.0,1.0,0.00314
cols,2,1000,0.0031249999999999997,9.584883932526286e-05,1.0048000000000001,0.5024000000000001,0.00314
cols,4,1000,0.003667,0.00011220071301021229,0.856285792200709,0.21407144805017725,0.00314
cols,8,1000,0.003080666666666667,0.00021863516033184902,1.019259900454447,0.12740748755680587,0.00314
rows,1,1000,0.0021903333333333336,0.00044117607973838895,1.0,1.0,0.0021903333333333336
rows,2,1000,0.0019679999999999997,0.0007370081410676546,1.1129742547425479,0.5564871273712739,0.0021903333333333336
rows,4,1000,0.0018570000000000001,7.582216034906953e-05,1.17950098725543,0.2948752468138575,0.0021903333333333336
rows,8,1000,0.002909,0.00024904417278868437,0.7529506130399909,0.09411882662999886,0.0021903333333333336
