algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,15000,0.749225,0.016154765767413683,1.0,1.0,0.749225
blocks,2,15000,0.6810956666666668,0.0013231690494162583,1.100029021865259,0.5500145109326295,0.749225
blocks,4,15000,0.6650456666666666,0.005083862147357365,1.126576771419707,0.28164419285492676,0.749225
blocks,8,15000,0.6715903333333334,0.010195227183997992,1.1155982491310426,0.13944978114138032,0.749225
cols,1,15000,1.028173,0.34965434060368816,1.0,1.0,1.028173
cols,2,15000,0.7047843333333333,0.04578520056015184,1.458847694779443,0.7294238473897215,1.028173
cols,4,15000,0.6773686666666666,0.005530126972623097,1.5178927674048501,0.37947319185121253,1.028173
cols,8,15000,0.6759236666666667,0.005604550145491863,1.521137741885055,0.19014221773563186,1.028173
rows,1,15000,0.8780640000000001,0.7234737291698987,1.0,1.0,0.8780640000000001
rows,2,15000,0.35424533333333336,0.00961463802404093,2.478688968850213,1.2393444844251065,0.8780640000000001
rows,4,15000,0.3387626666666666,0.0053990714325088665,2.5919739286501473,0.6479934821625368,0.8780640000000001
rows,8,15000,0.33660766666666664,0.013229137248261228,2.6085680361805985,0.3260710045225748,0.8780640000000001
