algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,3000,0.02931133333333333,0.00030080613912174893,1.0,1.0,0.02931133333333333
blocks,2,3000,0.028351,0.00032958155288183283,1.033872996837266,0.516936498418633,0.02931133333333333
blocks,4,3000,0.029342999999999998,0.0017049049826896516,0.9989208101875519,0.24973020254688796,0.02931133333333333
blocks,8,3000,0.028790333333333334,0.0011400369877040547,1.0180963517847426,0.12726204397309282,0.02931133333333333
cols,1,3000,0.029943333333333332,0.0013884182847158616,1.0,1.0,0.029943333333333332
cols,2,3000,0.027883,0.0004049703692864455,1.073892096737558,0.536946048368779,0.029943333333333332
cols,4,3000,0.028536999999999996,0.00042946944012350847,1.0492810503323171,0.2623202625830793,0.029943333333333332
cols,8,3000,0.029196666666666666,0.0002976328834879194,1.0255736956273547,0.12819671195341933,0.029943333333333332
rows,1,3000,0.021103,0.0028158790812106986,1.0,1.0,0.021103
rows,2,3000,0.015555,0.0003138598413304902,1.3566698810671811,0.6783349405335906,0.021103
rows,4,3000,0.019108333333333335,0.003365314596487724,1.1043872655909288,0.2760968163977322,0.021103
rows,8,3000,0.015034333333333332,0.0007519310695358538,1.4036538589450813,0.17545673236813517,0.021103
