algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,5000,0.08010533333333333,0.0016567004356048641,1.0,1.0,0.08010533333333333
blocks,2,5000,0.07734,0.0007475245815356087,1.0357555383156625,0.5178777691578312,0.08010533333333333
blocks,4,5000,0.07716533333333334,0.0024470965108334703,1.0381000103673497,0.2595250025918374,0.08010533333333333
blocks,8,5000,0.07906566666666666,0.001246117704445828,1.0131494074545633,0.1266436759318204,0.08010533333333333
cols,1,5000,0.08118233333333334,0.0010366071258356851,1.0,1.0,0.08118233333333334
cols,2,5000,0.07844333333333332,0.001567899975551159,1.034916925168912,0.517458462584456,0.08118233333333334
cols,4,5000,0.07656366666666665,0.00020053013073684315,1.0603245229460452,0.2650811307365113,0.08118233333333334
cols,8,5000,0.07927833333333333,0.0013634296217015823,1.0240166501986674,0.12800208127483342,0.08118233333333334
rows,1,5000,0.051642,0.007735338971241017,1.0,1.0,0.051642
rows,2,5000,0.04107,0.0008052105314760849,1.2574141709276845,0.6287070854638422,0.051642
rows,4,5000,0.039204333333333334,0.0019986481264428063,1.3172523445537483,0.32931308613843707,0.051642
rows,8,5000,0.038239666666666665,0.000891359822593173,1.350482483285245,0.1688103104106556,0.051642
