algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,10000,0.321325,0.0031142352191188094,1.0,1.0,0.321325
blocks,2,10000,0.307348,0.0059331705689285065,1.0454761377981963,0.5227380688990981,0.321325
blocks,4,10000,0.299558,0.0007098753411691323,1.0726637245541766,0.26816593113854414,0.321325
blocks,8,10000,0.30577166666666666,0.00231976061983414,1.0508658421589094,0.13135823026986368,0.321325
cols,1,10000,0.313202,0.002149113072874491,1.0,1.0,0.313202
cols,2,10000,0.312083,0.006045503039450058,1.0035855846040957,0.5017927923020479,0.313202
cols,4,10000,0.2999443333333333,0.0021961494332885193,1.0442004238564266,0.26105010596410666,0.313202
cols,8,10000,0.30938,0.0068030709977185844,1.0123537397375395,0.12654421746719244,0.313202
rows,1,10000,0.22048533333333334,0.032632573853947446,1.0,1.0,0.22048533333333334
rows,2,10000,0.203275,0.012728847080548958,1.0846652728241708,0.5423326364120854,0.22048533333333334
rows,4,10000,0.16998933333333333,0.013027009531482404,1.2970539327957833,0.3242634831989458,0.22048533333333334
rows,8,10000,0.1512163333333333,0.0027691259150377182,1.458078823054829,0.18225985288185362,0.22048533333333334
